N,P,K,temperature,humidity,ph,rainfall,soil_type,season,district,irrigation,label
54,35,39,17.05,52.73,5.83,200.97,Sandy Soil,Rabi,Kutch,Low,Mustard
57,32,32,37.79,38.72,5.56,311.4,Sandy Soil,Kharif,Jamnagar,Low,Bajra
43,41,29,29.26,72.3,6.64,634.68,Sandy Soil,Kharif,Jamnagar,Medium,Groundnut
46,37,28,34.82,43.77,6.68,336.19,Loamy Soil,Kharif,Ahmedabad,Low,Bajra
57,38,29,35.02,40.38,6.47,223.27,Loamy Soil,Kharif,Banaskantha,Low,Bajra
68,39,32,20.55,49.63,6.63,195.04,Alluvial Soil,Rabi,Kutch,Low,Mustard
88,35,42,33.28,66.72,6.39,798.51,Alluvial Soil,Kharif,Bhavnagar,Medium,Cotton
51,32,30,29.98,55.84,7.14,472.01,Sandy Soil,Kharif,Rajkot,Low,Castor
58,47,29,18.95,53.75,6.02,182.32,Alluvial Soil,Rabi,Mehsana,Low,Mustard
116,48,58,33.03,66.84,6.62,783.43,Black Soil,Kharif,Amreli,Medium,Cotton
91,38,42,19.08,53.53,6.06,196.13,Alluvial Soil,Rabi,Anand,Medium,Wheat
31,34,24,25.01,41.21,5.39,126.27,Sandy Soil,Rabi,Jamnagar,Low,Cumin
49,34,36,29.45,50.99,6.51,459.78,Sandy Soil,Kharif,Anand,Low,Castor
50,36,19,31.24,64.51,7.17,427.99,Sandy Soil,Kharif,Rajkot,Low,Castor
78,50,42,25.03,72.14,5.65,912.28,Loamy Soil,Kharif,Anand,High,Maize
57,41,38,19.44,51.22,7.17,240.76,Loamy Soil,Rabi,Jamnagar,Low,Mustard
95,53,45,29.32,63.71,6.35,842.24,Alluvial Soil,Kharif,Surat,Medium,Cotton
28,22,31,28.87,50.04,6.41,398.73,Alluvial Soil,Kharif,Bhavnagar,Low,Sesame
36,33,25,22.58,32.24,6.75,85.58,Alluvial Soil,Rabi,Rajkot,Low,Cumin
39,52,41,22.24,43.32,6.66,144.6,Black Soil,Rabi,Rajkot,Low,Gram
38,22,21,29.9,52.35,7.0,400.13,Sandy Soil,Kharif,Bhavnagar,Low,Sesame
92,40,49,21.72,49.84,6.99,181.36,Loamy Soil,Rabi,Mehsana,Medium,Wheat
65,33,31,31.21,41.4,5.91,293.43,Sandy Soil,Kharif,Mehsana,Low,Bajra
34,26,29,32.18,52.5,6.6,382.8,Loamy Soil,Kharif,Kutch,Low,Sesame
60,35,37,30.24,40.83,6.65,288.42,Loamy Soil,Kharif,Banaskantha,Low,Bajra
28,28,25,30.76,53.79,6.48,395.56,Sandy Soil,Kharif,Kutch,Low,Sesame
33,41,27,27.36,71.01,5.31,685.01,Loamy Soil,Kharif,Jamnagar,Medium,Groundnut
24,49,31,20.4,40.79,6.25,167.57,Clay Soil,Rabi,Jamnagar,Low,Gram
53,45,32,21.45,53.11,7.2,159.33,Loamy Soil,Rabi,Banaskantha,Low,Mustard
32,65,37,25.03,46.48,5.94,193.1,Clay Soil,Rabi,Vadodara,Low,Gram
86,51,52,31.83,70.04,5.77,799.19,Alluvial Soil,Kharif,Vadodara,Medium,Cotton
92,47,48,21.19,45.71,6.44,179.66,Alluvial Soil,Rabi,Banaskantha,Medium,Wheat
49,33,30,38.11,35.62,6.48,189.02,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
60,48,37,32.5,49.54,6.84,242.04,Loamy Soil,Kharif,Kutch,Low,Bajra
40,54,39,20.77,42.12,6.76,187.06,Loamy Soil,Rabi,Ahmedabad,Low,Gram
75,51,35,28.03,62.88,7.08,878.55,Loamy Soil,Kharif,Mehsana,High,Maize
51,26,30,28.73,55.61,6.84,477.32,Sandy Soil,Kharif,Mehsana,Low,Castor
109,61,55,34.19,67.47,6.54,693.2,Black Soil,Kharif,Vadodara,Medium,Cotton
89,56,40,27.84,75.27,6.67,873.54,Red Soil,Kharif,Vadodara,High,Maize
72,40,34,19.12,49.39,6.48,186.52,Alluvial Soil,Rabi,Banaskantha,Low,Mustard
58,45,26,32.01,50.11,6.08,399.52,Sandy Soil,Kharif,Anand,Low,Castor
96,49,43,34.35,66.35,5.87,861.19,Alluvial Soil,Kharif,Amreli,Medium,Cotton
36,49,30,22.16,41.46,6.79,149.86,Black Soil,Rabi,Junagadh,Low,Gram
37,44,35,28.45,73.75,6.75,694.22,Loamy Soil,Kharif,Junagadh,Medium,Groundnut
37,17,25,30.02,47.29,5.81,413.94,Sandy Soil,Kharif,Amreli,Low,Sesame
100,46,50,32.27,63.0,6.53,774.31,Alluvial Soil,Kharif,Junagadh,High,Cotton
56,39,37,33.22,35.31,6.41,265.86,Sandy Soil,Kharif,Banaskantha,Low,Bajra
81,49,49,28.01,73.64,6.04,973.06,Loamy Soil,Kharif,Vadodara,High,Maize
44,49,24,27.45,74.87,6.64,590.17,Sandy Soil,Kharif,Amreli,Medium,Groundnut
104,52,45,17.76,44.87,5.46,163.88,Loamy Soil,Rabi,Banaskantha,Medium,Wheat
83,44,45,23.76,70.3,6.76,893.96,Alluvial Soil,Kharif,Anand,High,Maize
38,46,36,19.98,38.61,6.94,150.48,Clay Soil,Rabi,Ahmedabad,Low,Gram
56,39,33,33.5,37.86,7.49,279.01,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
45,48,23,23.36,44.24,6.26,194.71,Clay Soil,Rabi,Jamnagar,Low,Gram
77,44,37,27.04,66.07,6.29,960.19,Alluvial Soil,Kharif,Ahmedabad,High,Maize
30,29,24,21.79,35.48,6.53,169.57,Loamy Soil,Rabi,Jamnagar,Low,Cumin
81,48,42,28.19,71.41,6.42,903.7,Alluvial Soil,Kharif,Ahmedabad,High,Maize
39,27,27,30.74,50.19,6.98,350.75,Loamy Soil,Kharif,Kutch,Low,Sesame
93,42,39,20.25,43.23,6.37,114.88,Clay Soil,Rabi,Anand,Medium,Wheat
115,45,47,21.6,50.69,6.76,195.3,Black Soil,Rabi,Ahmedabad,Medium,Wheat
38,49,29,27.34,67.47,5.84,740.38,Loamy Soil,Kharif,Bhavnagar,Medium,Groundnut
41,29,29,25.9,37.5,6.12,117.2,Sandy Soil,Rabi,Kutch,Low,Cumin
65,47,33,17.57,57.44,6.56,116.71,Sandy Soil,Rabi,Mehsana,Low,Mustard
85,47,39,30.7,68.51,6.03,975.49,Black Soil,Kharif,Surat,Medium,Cotton
28,50,24,28.33,74.72,5.77,603.79,Sandy Soil,Kharif,Amreli,Medium,Groundnut
38,52,36,20.23,44.0,6.73,235.69,Loamy Soil,Rabi,Vadodara,Low,Gram
106,49,52,20.09,42.27,7.27,171.21,Clay Soil,Rabi,Rajkot,Medium,Wheat
27,28,30,27.27,45.63,6.34,354.81,Alluvial Soil,Kharif,Kutch,Low,Sesame
67,43,37,20.63,49.03,6.23,233.04,Sandy Soil,Rabi,Ahmedabad,Low,Mustard
85,42,46,19.23,48.3,7.28,184.06,Alluvial Soil,Rabi,Banaskantha,Medium,Wheat
48,28,27,30.1,53.81,6.6,369.29,Alluvial Soil,Kharif,Kutch,Low,Castor
103,59,37,32.55,64.08,6.56,830.6,Black Soil,Kharif,Surat,Medium,Cotton
82,45,41,25.36,71.75,6.2,880.83,Alluvial Soil,Kharif,Anand,High,Maize
104,47,45,21.6,49.49,5.35,164.87,Clay Soil,Rabi,Anand,Medium,Wheat
92,49,48,16.05,47.12,7.19,185.4,Alluvial Soil,Rabi,Mehsana,Medium,Wheat
24,61,43,21.7,40.73,6.17,167.79,Loamy Soil,Rabi,Jamnagar,Low,Gram
115,50,54,30.73,61.98,5.32,911.52,Alluvial Soil,Kharif,Junagadh,Medium,Cotton
51,36,35,16.35,50.32,6.84,152.59,Loamy Soil,Rabi,Mehsana,Low,Mustard
32,47,39,20.92,43.21,6.58,229.8,Clay Soil,Rabi,Junagadh,Low,Gram
88,42,48,19.43,44.2,5.53,162.37,Clay Soil,Rabi,Mehsana,Medium,Wheat
34,26,22,29.29,56.01,6.91,479.56,Sandy Soil,Kharif,Bhavnagar,Low,Sesame
92,47,40,31.71,66.29,6.85,816.06,Black Soil,Kharif,Vadodara,High,Cotton
51,33,26,25.0,59.03,6.95,383.11,Sandy Soil,Kharif,Kutch,Low,Castor
79,46,47,28.3,69.93,6.57,899.44,Red Soil,Kharif,Ahmedabad,High,Maize
36,29,22,27.37,52.58,6.75,418.34,Loamy Soil,Kharif,Anand,Low,Castor
84,51,33,24.56,70.29,6.14,966.44,Alluvial Soil,Kharif,Vadodara,High,Maize
85,52,33,27.01,68.63,7.11,948.47,Loamy Soil,Kharif,Banaskantha,High,Maize
80,48,37,28.13,69.83,6.35,825.98,Alluvial Soil,Kharif,Anand,High,Maize
38,19,30,32.06,54.05,6.81,403.6,Loamy Soil,Kharif,Kutch,Low,Sesame
30,31,30,23.07,40.11,6.42,155.8,Loamy Soil,Rabi,Mehsana,Low,Cumin
29,29,29,22.42,36.56,7.01,111.11,Loamy Soil,Rabi,Kutch,Low,Cumin
29,36,17,22.61,35.36,6.28,149.3,Alluvial Soil,Rabi,Jamnagar,Low,Cumin
33,20,26,31.79,44.33,6.48,368.94,Loamy Soil,Kharif,Junagadh,Low,Sesame
31,43,32,25.55,75.97,6.57,669.07,Loamy Soil,Kharif,Rajkot,Medium,Groundnut
98,48,41,28.04,73.06,6.44,879.64,Alluvial Soil,Kharif,Ahmedabad,High,Maize
108,51,46,25.98,75.4,7.02,998.1,Red Soil,Kharif,Vadodara,High,Maize
31,38,29,30.33,51.43,6.76,420.82,Alluvial Soil,Kharif,Kutch,Low,Sesame
